Level	Rule Name	Subject	Property	Value
WARN	duplicate_exact_synonym	decreased rate of deactivation of mitotic spindle assembly checkpoint	has_exact_synonym	delayed inactivation of the mitotic SAC
WARN	duplicate_exact_synonym	normal deactivation of mitotic spindle assembly checkpoint	has_exact_synonym	delayed inactivation of the mitotic SAC
WARN	missing_definition	output_of	definition	
WARN	missing_definition	preceded_by	definition	
WARN	missing_definition	precedes	definition	
WARN	multiple_equivalent_classes	polyphosphate absent from cell	owl:equivalentClass	blank node
INFO	lowercase_definition	has_output	definition	p has output c if either: p has direct output c or p has output input c. Implies that if p happens, c always ensues.
INFO	missing_superclass	phenotype	rdfs:subClassOf	
